surface_metric,model_score,spearman_rho,p_value
jaccard,p_meta,-0.29,0.024596
jaccard,p_lex,-0.348,0.006433
jaccard,p_syn,-0.2975,0.020963
jaccard,p_sem,-0.4069,0.001255
bigram_overlap,p_meta,-0.2535,0.050691
bigram_overlap,p_lex,-0.3263,0.010946
bigram_overlap,p_syn,-0.2629,0.042427
bigram_overlap,p_sem,-0.3671,0.003908
norm_edit_dist,p_meta,0.5031,4.2e-05
norm_edit_dist,p_lex,0.4798,0.000105
norm_edit_dist,p_syn,0.474,0.00013
norm_edit_dist,p_sem,0.419,0.000861
novel_word_ratio,p_meta,0.2698,0.037075
novel_word_ratio,p_lex,0.3209,0.01241
novel_word_ratio,p_syn,0.2829,0.028487
novel_word_ratio,p_sem,0.3891,0.002123
length_change,p_meta,-0.0249,0.850319
length_change,p_lex,0.02,0.879358
length_change,p_syn,0.0417,0.751609
length_change,p_sem,0.1125,0.392284
